# Project GenCode Backend - Function Analysis

Total Functions: 795

## Module: `agents\sub_agents.py`

| Line | Function Name | Purpose (Docstring) | Usage Count | Used In (Sample) |
|------|---------------|---------------------|-------------|------------------|
| 31 | `_broadcast_agent_thinking` | Broadcast agent thinking to the frontend Terminal. | 3 | agents\sub_agents.py |
| 56 | `_llm_generate_tests` | Ask LLM to generate tests given the current project files. | 1 | agents\sub_agents.py |
| 155 | `_write_tests_to_workspace` | Persist generated tests into workspace and return list of written paths. | 1 | agents\sub_agents.py |
| 171 | `_run_pytest` | Run pytest programmatically via async subprocess. | 1 | agents\sub_agents.py |
| 214 | `_run_playwright` | Try to run playwright tests via CLI 'playwright test' (async). | 1 | agents\sub_agents.py |
| 254 | `run_sub_agent` | Generic runner for a sub-agent: | 0 | - |
| 355 | `marcus_call_sub_agent` | Marcus uses this to call Derek/Luna/Victoria for code generation. | 0 | - |

## Module: `api\agents.py`

| Line | Function Name | Purpose (Docstring) | Usage Count | Used In (Sample) |
|------|---------------|---------------------|-------------|------------------|
| 13 | `get_agents_status` | Get status of all agents. | 0 | - |
| 42 | `get_active_workflows` | Get list of active workflows. | 0 | - |

## Module: `api\deployment.py`

| Line | Function Name | Purpose (Docstring) | Usage Count | Used In (Sample) |
|------|---------------|---------------------|-------------|------------------|
| 39 | `initialize_deployment` | Initialize a new deployment. | 0 | - |
| 67 | `start_deployment` | Start one-click deployment. | 0 | - |
| 95 | `get_deployment_status` | Get deployment status. | 0 | - |
| 118 | `get_deployment_history` | Get deployment history. | 0 | - |
| 137 | `rollback_deployment` | Rollback to previous version. | 0 | - |
| 152 | `update_env_vars` | Update environment variables. | 0 | - |
| 169 | `get_env_vars` | Get environment variables. | 0 | - |
| 179 | `setup_custom_domain` | Setup custom domain. | 0 | - |
| 197 | `get_deployment_logs` | Get deployment logs. | 0 | - |
| 209 | `download_logs` | Download deployment logs as file. | 0 | - |
| 221 | `restart_deployment` | Restart deployment. | 0 | - |
| 232 | `get_deployment_metrics` | Get deployment metrics. | 0 | - |
| 243 | `get_container_health` | Get container health status. | 0 | - |

## Module: `api\health.py`

| Line | Function Name | Purpose (Docstring) | Usage Count | Used In (Sample) |
|------|---------------|---------------------|-------------|------------------|
| 12 | `healthz` | Simple health check. | 0 | - |
| 18 | `api_health` | API health check. | 0 | - |

## Module: `api\projects.py`

| Line | Function Name | Purpose (Docstring) | Usage Count | Used In (Sample) |
|------|---------------|---------------------|-------------|------------------|
| 40 | `create_project` | Create a new project.  | 0 | - |
| 129 | `list_projects` | List all projects. | 0 | - |
| 179 | `get_project` | Get project details. | 0 | - |
| 226 | `delete_project` | Delete a project. | 0 | - |

## Module: `api\providers.py`

| Line | Function Name | Purpose (Docstring) | Usage Count | Used In (Sample) |
|------|---------------|---------------------|-------------|------------------|
| 21 | `list_providers` | List available LLM providers. | 0 | - |
| 54 | `get_available_providers` | Get list of available providers (those with API keys configured). | 0 | - |
| 98 | `get_current_provider` | Get current default provider and model. | 0 | - |
| 116 | `set_provider` | Set the current provider and model. | 0 | - |

## Module: `api\sandbox.py`

| Line | Function Name | Purpose (Docstring) | Usage Count | Used In (Sample) |
|------|---------------|---------------------|-------------|------------------|
| 20 | `sandbox_exec` | Execute command in sandbox. | 0 | - |
| 38 | `get_sandbox_status` | Get sandbox status for a project. | 0 | - |
| 51 | `create_sandbox` | Create/initialize sandbox for a project (idempotent). | 0 | - |
| 74 | `start_sandbox` | Start sandbox for a project. | 0 | - |
| 87 | `stop_sandbox` | Stop sandbox for a project. | 0 | - |
| 100 | `get_preview_url` | Get preview URL for a project sandbox. | 0 | - |

## Module: `api\tracking.py`

| Line | Function Name | Purpose (Docstring) | Usage Count | Used In (Sample) |
|------|---------------|---------------------|-------------|------------------|
| 16 | `health` | Health check for tracking service. | 0 | - |
| 22 | `get_project_costs` | Get cost/token usage data for a project. | 0 | - |
| 38 | `get_project_budget` | Get budget status for a project. | 0 | - |
| 52 | `list_tracked_projects` | List all projects with budget tracking. | 0 | - |

## Module: `api\workspace.py`

| Line | Function Name | Purpose (Docstring) | Usage Count | Used In (Sample) |
|------|---------------|---------------------|-------------|------------------|
| 29 | `validate_project_id` | Validate project_id format to prevent path traversal attacks. | 4 | api\workspace.py |
| 39 | `get_safe_project_path` | Get project path with security validation. | 3 | api\workspace.py |
| 78 | `list_workspaces` | List all workspaces (for connection test). | 0 | - |
| 92 | `get_workspace_files` | Get workspace file tree. | 0 | - |
| 128 | `get_file_content` | Get file content. | 0 | - |
| 158 | `save_file_content` | Save file content. | 0 | - |
| 182 | `generate_backend` | Start backend generation workflow. | 0 | - |
| 301 | `resume_workflow_endpoint` | Resume a paused workflow OR start a refine workflow for completed projects. | 0 | - |
| 402 | `apply_instruction` | Apply an instruction to modify project files. | 0 | - |
| 415 | `force_reset_workflow` | Force reset workflow state for a project. | 0 | - |
| 433 | `get_project_progress` | Get workflow progress for a project. | 0 | - |
| 471 | `clear_project_progress` | Clear all saved progress for a project. | 0 | - |

## Module: `arbormind\evolution.py`

| Line | Function Name | Purpose (Docstring) | Usage Count | Used In (Sample) |
|------|---------------|---------------------|-------------|------------------|
| 67 | `ArborMindEvolution.__init__` | No description available | 0 | - |
| 72 | `ArborMindEvolution.v_store` | No description available | 0 | - |
| 77 | `ArborMindEvolution.evolve_options` | Apply evolution to a list of options before routing. | 1 | arbormind\router.py |
| 111 | `ArborMindEvolution._enhance_from_patterns` | Enhance options with insights from successful patterns. | 1 | arbormind\evolution.py |
| 171 | `ArborMindEvolution._apply_failure_warnings` | Apply warnings and confidence adjustments from failure history. | 1 | arbormind\evolution.py |
| 305 | `ArborMindEvolution.start_tracking` | Start tracking a routing decision. | 1 | arbormind\router.py |
| 352 | `ArborMindEvolution.complete_tracking` | Complete tracking by recording the outcome. | 0 | - |
| 398 | `ArborMindEvolution._record_to_pattern_store` | Cross-record successful patterns for redundancy. | 1 | arbormind\evolution.py |
| 414 | `ArborMindEvolution._record_to_failure_store` | Cross-record failures for anti-pattern learning. | 1 | arbormind\evolution.py |
| 430 | `ArborMindEvolution.get_stats` | Get evolution statistics. | 1 | arbormind\evolution.py |
| 455 | `get_evolution_manager` | Get the global ArborMind evolution manager. | 5 | arbormind\evolution.py, arbormind\router.py |
| 467 | `evolve_before_routing` | Called by router BEFORE making a decision. | 0 | - |
| 479 | `track_routing_decision` | Called by router AFTER making a decision. | 0 | - |
| 497 | `report_routing_outcome` | Called when the outcome of a routing decision is known. | 0 | - |
| 512 | `get_evolution_stats` | Get overall evolution statistics. | 0 | - |

## Module: `arbormind\explorer.py`

| Line | Function Name | Purpose (Docstring) | Usage Count | Used In (Sample) |
|------|---------------|---------------------|-------------|------------------|
| 21 | `arbormind_explore` | E-AM: Inject patterns from foreign archetypes. | 1 | orchestration\error_router.py |
| 116 | `_search_foreign_patterns` | Search for patterns in the V-vector store, excluding current archetype. | 1 | arbormind\explorer.py |
| 149 | `_get_error_embedding` | Get embedding for error text. | 1 | arbormind\explorer.py |
| 163 | `select_best_foreign_pattern` | Select the single best foreign pattern based on weights and compatibility. | 0 | - |
| 202 | `get_archetype_hints_for_error` | Get suggested archetypes that often have solutions for this error type. | 0 | - |

## Module: `arbormind\metrics_collector.py`

| Line | Function Name | Purpose (Docstring) | Usage Count | Used In (Sample) |
|------|---------------|---------------------|-------------|------------------|
| 29 | `init_metrics_db` | Initialize the metrics database tables if they don't exist. | 1 | main.py |
| 130 | `get_db_connection` | No description available | 8 | arbormind\metrics_collector.py |
| 137 | `start_pipeline_run` | Start tracking a new pipeline run. Returns run_id. | 1 | orchestration\fast_orchestrator.py |
| 156 | `complete_pipeline_run` | Mark a pipeline run as complete. | 2 | orchestration\fast_orchestrator.py |
| 183 | `start_step` | (Optional) Log step start - mainly for real-time dashboards. | 1 | orchestration\fast_orchestrator.py |
| 187 | `complete_step` | Record the outcome of a single step. | 3 | orchestration\fast_orchestrator.py |
| 220 | `record_arbormind_metrics` | Record ArborMind routing decision metrics to the metrics database. | 0 | - |
| 234 | `report_routing_outcome_db` | Update a routing decision with its outcome. | 0 | - |
| 254 | `store_classification_decision` | Store a classification decision for Marcus's learning. | 1 | handlers\contracts.py |
| 291 | `get_successful_classification_examples` | Retrieve successful classification examples for Marcus to learn from. | 1 | handlers\contracts.py |
| 337 | `get_classification_accuracy_stats` | Get overall classification accuracy statistics. | 1 | handlers\contracts.py |

## Module: `arbormind\router.py`

| Line | Function Name | Purpose (Docstring) | Usage Count | Used In (Sample) |
|------|---------------|---------------------|-------------|------------------|
| 129 | `_load_persistent_cache` | Load embeddings from disk on startup. | 1 | arbormind\router.py |
| 143 | `_save_persistent_cache_entry` | Append a single entry to disk (simple append-only log or rewrite). | 1 | arbormind\router.py |
| 168 | `_get_http_session` | Get or create shared HTTP session for connection pooling. | 2 | arbormind\router.py |
| 179 | `close_http_session` | Close the shared HTTP session. Call during app shutdown. | 1 | main.py |
| 187 | `_cache_get` | Get from cache if exists. | 1 | arbormind\router.py |
| 197 | `_cache_set` | Set cache and persist. | 1 | arbormind\router.py |
| 208 | `get_embedding` | Get text embedding using the configured LLM provider. | 3 | arbormind\explorer.py, arbormind\router.py |
| 249 | `_get_gemini_embedding` | Get embedding from Google Gemini API. | 1 | arbormind\router.py |
| 280 | `_get_openai_embedding` | Get embedding from OpenAI API. | 1 | arbormind\router.py |
| 313 | `_get_fallback_embedding` | Fallback embedding using simple hash-based approach. | 2 | arbormind\router.py |
| 334 | `softmax` | Numerically stable softmax implementation. | 1 | arbormind\router.py |
| 351 | `scaled_dot_product_attention` | Compute scaled dot-product attention. | 0 | - |
| 396 | `_l2_normalize` | L2 normalize vectors along specified axis. | 2 | arbormind\router.py |
| 402 | `_softmax_am` | Numerically stable softmax for AM operations. | 1 | arbormind\router.py |
| 409 | `arbormind_attention` | Universal Attention operator supporting AM creative modes. | 3 | arbormind\explorer.py, arbormind\router.py |
| 476 | `arbormind_blend` | Domain-general V-value synthesis for AM. | 2 | arbormind\explorer.py, arbormind\router.py |
| 525 | `should_use_combinational_mode` | Determine if combinational mode should be used based on entropy. | 1 | arbormind\router.py |
| 558 | `ArborMindRouter.__init__` | No description available | 0 | - |
| 562 | `ArborMindRouter._get_evolution_manager` | Lazy load evolution manager to avoid circular imports. | 1 | arbormind\router.py |
| 572 | `ArborMindRouter.route` | Route a query to the best matching options using Global Attention. | 4 | arbormind\router.py, supervision\supervisor.py |
| 791 | `ArborMindRouter._fallback_response` | Return a safe fallback response. | 2 | arbormind\router.py |
| 803 | `ArborMindRouter._log_decision` | Visual logging of the attention distribution and parameters. | 1 | arbormind\router.py |
| 828 | `compute_archetype_routing` | Route to project archetype using the Universal Router. | 0 | - |
| 844 | `compute_ui_vibe_routing` | Route to UI vibe using the Universal Router. | 0 | - |
| 860 | `arbormind_route` | ArborMind Route - Primary routing function. | 1 | orchestration\error_router.py |

## Module: `arbormind\t_am_operators.py`

| Line | Function Name | Purpose (Docstring) | Usage Count | Used In (Sample) |
|------|---------------|---------------------|-------------|------------------|
| 6 | `TAMOperator.__init__` | No description available | 0 | - |
| 10 | `TAMOperator.apply` | No description available | 1 | orchestration\healing_pipeline.py |
| 13 | `_invert_strict_mode` | Strategy: Relax constraints to allow partial success. | 0 | - |
| 31 | `build_default_tam_operators` | Build the default set of T-AM mutation operators. | 1 | orchestration\healing_pipeline.py |

## Module: `arbormind\v_value_schema.py`

| Line | Function Name | Purpose (Docstring) | Usage Count | Used In (Sample) |
|------|---------------|---------------------|-------------|------------------|
| 13 | `VValue.from_dict` | No description available | 3 | orchestration\healing_pipeline.py, utils\entity_discovery.py |
| 16 | `VValue.to_dict` | No description available | 10 | arbormind\t_am_operators.py, core\types.py (+4 more) |
| 19 | `VValue.get` | No description available | 707 | agents\sub_agents.py, api\agents.py (+81 more) |
| 22 | `VValue.set` | No description available | 5 | arbormind\t_am_operators.py, lib\monitoring.py (+1 more) |

## Module: `core\arbormind_paths.py`

| Line | Function Name | Purpose (Docstring) | Usage Count | Used In (Sample) |
|------|---------------|---------------------|-------------|------------------|
| 36 | `get_arbormind_storage_dir` | Get the ArborMind storage directory. | 0 | - |
| 41 | `get_v_vector_db_path` | Get the V-Vector database path. | 0 | - |
| 46 | `get_metrics_db_path` | Get the metrics database path. | 0 | - |

